192.168.23.97 - - [07/Aug/2020:07:57:27 +0900] "GET /exam_v1/resort/assets/js/main.js HTTP/1.1" 304 -
192.168.23.97 - - [07/Aug/2020:07:57:27 +0900] "GET /exam_v1/resort/assets/js/plugins.js HTTP/1.1" 304 -
192.168.23.97 - - [07/Aug/2020:07:57:27 +0900] "GET /exam_v1/resort/assets/img/rooms/room3.jpg HTTP/1.1" 304 -
192.168.23.97 - - [07/Aug/2020:07:57:27 +0900] "GET /exam_v1/resort/assets/img/gallery/gallery2.jpg HTTP/1.1" 304 -
192.168.23.97 - - [07/Aug/2020:07:57:27 +0900] "GET /exam_v1/resort/assets/img/gallery/gallery3.jpg HTTP/1.1" 304 -
192.168.23.97 - - [07/Aug/2020:07:57:27 +0900] "GET /exam_v1/resort/assets/img/gallery/gallery1.jpg HTTP/1.1" 304 -
192.168.23.97 - - [07/Aug/2020:07:57:27 +0900] "GET /exam_v1/resort/assets/img/logo/testimonial.png HTTP/1.1" 304 -
192.168.23.97 - - [07/Aug/2020:07:57:27 +0900] "GET /exam_v1/resort/assets/img/logo/reallightresort2.png HTTP/1.1" 304 -
192.168.23.97 - - [07/Aug/2020:07:57:27 +0900] "GET /exam_v1/resort/assets/img/logo/form-iocn.jpg HTTP/1.1" 304 -
192.168.23.97 - - [07/Aug/2020:07:57:27 +0900] "GET /exam_v1/resort/assets/img/customer/customar_bg.png HTTP/1.1" 304 -
192.168.23.97 - - [07/Aug/2020:07:57:27 +0900] "GET /exam_v1/resort/assets/img/dining/dining-img.png HTTP/1.1" 304 -
192.168.23.97 - - [07/Aug/2020:07:57:27 +0900] "GET /exam_v1/resort/assets/img/dining/dining-img2.png HTTP/1.1" 304 -
192.168.23.97 - - [07/Aug/2020:07:57:27 +0900] "GET /exam_v1/resort/assets/fonts/fa-solid-900.woff2 HTTP/1.1" 304 -
192.168.23.97 - - [07/Aug/2020:07:57:27 +0900] "GET /exam_v1/resort/assets/fonts/fa-brands-400.woff2 HTTP/1.1" 304 -
192.168.23.97 - - [07/Aug/2020:07:57:27 +0900] "GET /exam_v1/resort/assets/fonts/themify.woff?-fvbane HTTP/1.1" 304 -
192.168.23.97 - - [07/Aug/2020:07:57:27 +0900] "GET /exam_v1/resort/assets/css/bootstrap.min.css.map HTTP/1.1" 404 870
192.168.23.97 - - [07/Aug/2020:07:57:27 +0900] "GET /exam_v1/resort/assets/js/popper.min.js.map HTTP/1.1" 404 865
192.168.23.97 - - [07/Aug/2020:07:57:27 +0900] "GET /exam_v1/resort/assets/js/bootstrap.min.js.map HTTP/1.1" 404 868
192.168.23.97 - - [07/Aug/2020:07:57:27 +0900] "GET /exam_v1/resort/assets/img/hero/h1_hero.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Aug/2020:07:57:31 +0900] "GET /exam_v1/resort/resv_mkdata.jsp HTTP/1.1" 200 169
192.168.23.97 - - [07/Aug/2020:07:57:35 +0900] "GET /exam_v1/resort/adm_allview.jsp HTTP/1.1" 200 22689
192.168.23.97 - - [07/Aug/2020:07:57:38 +0900] "GET /exam_v1/resort/d_01_.jsp HTTP/1.1" 200 13190
192.168.23.97 - - [07/Aug/2020:07:57:51 +0900] "GET /exam_v1/resort/index.html HTTP/1.1" 304 -
192.168.23.97 - - [07/Aug/2020:07:57:51 +0900] "GET /exam_v1/resort/main.jsp HTTP/1.1" 200 23405
192.168.23.97 - - [07/Aug/2020:07:57:51 +0900] "GET /exam_v1/resort/assets/css/bootstrap.min.css.map HTTP/1.1" 404 870
192.168.23.97 - - [07/Aug/2020:07:57:51 +0900] "GET /exam_v1/resort/assets/js/popper.min.js.map HTTP/1.1" 404 865
192.168.23.97 - - [07/Aug/2020:07:57:51 +0900] "GET /exam_v1/resort/assets/js/bootstrap.min.js.map HTTP/1.1" 404 868
192.168.23.97 - - [07/Aug/2020:07:57:54 +0900] "GET /exam_v1/resort/d_01_.jsp HTTP/1.1" 200 13190
192.168.23.97 - - [07/Aug/2020:07:57:55 +0900] "GET /exam_v1/resort/d_02.jsp HTTP/1.1" 200 4936
0:0:0:0:0:0:0:1 - - [07/Aug/2020:07:58:07 +0900] "GET /exam_v1/resort/resv_mkdata.jsp HTTP/1.1" 200 169
192.168.23.97 - - [07/Aug/2020:07:58:11 +0900] "GET /exam_v1/resort/d_01_.jsp HTTP/1.1" 200 13190
192.168.23.97 - - [07/Aug/2020:07:58:13 +0900] "GET /exam_v1/resort/d_01_.jsp HTTP/1.1" 200 13190
192.168.23.97 - - [07/Aug/2020:07:58:23 +0900] "GET /exam_v1/resort/d_02.jsp HTTP/1.1" 200 4936
0:0:0:0:0:0:0:1 - - [07/Aug/2020:08:13:03 +0900] "GET /exam_v1/resort/resv_mkdata.jsp HTTP/1.1" 200 169
192.168.23.97 - - [07/Aug/2020:08:13:07 +0900] "GET /exam_v1/resort/d_01_.jsp HTTP/1.1" 200 13165
192.168.23.97 - - [07/Aug/2020:08:13:16 +0900] "GET /exam_v1/resort/main.jsp HTTP/1.1" 200 23405
