127.0.0.1 - - [06/Aug/2020:08:27:54 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [06/Aug/2020:08:27:55 +0900] "GET /exam_v1/resort/resv_mkdata.jsp HTTP/1.1" 200 169
0:0:0:0:0:0:0:1 - - [06/Aug/2020:08:27:56 +0900] "GET /favicon.ico HTTP/1.1" 404 818
192.168.23.97 - - [06/Aug/2020:08:28:04 +0900] "GET /exam_v1/resort/main.html HTTP/1.1" 304 -
192.168.23.97 - - [06/Aug/2020:08:28:04 +0900] "GET /exam_v1/resort/assets/css/gijgo.css HTTP/1.1" 304 -
192.168.23.97 - - [06/Aug/2020:08:28:04 +0900] "GET /exam_v1/resort/assets/css/owl.carousel.min.css HTTP/1.1" 304 -
192.168.23.97 - - [06/Aug/2020:08:28:04 +0900] "GET /exam_v1/resort/assets/css/magnific-popup.css HTTP/1.1" 304 -
192.168.23.97 - - [06/Aug/2020:08:28:04 +0900] "GET /exam_v1/resort/assets/css/animate.min.css HTTP/1.1" 304 -
192.168.23.97 - - [06/Aug/2020:08:28:04 +0900] "GET /exam_v1/resort/assets/css/slicknav.css HTTP/1.1" 304 -
192.168.23.97 - - [06/Aug/2020:08:28:04 +0900] "GET /exam_v1/resort/assets/css/bootstrap.min.css HTTP/1.1" 304 -
192.168.23.97 - - [06/Aug/2020:08:28:04 +0900] "GET /exam_v1/resort/assets/css/fontawesome-all.min.css HTTP/1.1" 304 -
192.168.23.97 - - [06/Aug/2020:08:28:04 +0900] "GET /exam_v1/resort/assets/css/themify-icons.css HTTP/1.1" 304 -
192.168.23.97 - - [06/Aug/2020:08:28:04 +0900] "GET /exam_v1/resort/assets/css/slick.css HTTP/1.1" 304 -
192.168.23.97 - - [06/Aug/2020:08:28:04 +0900] "GET /exam_v1/resort/assets/css/nice-select.css HTTP/1.1" 304 -
192.168.23.97 - - [06/Aug/2020:08:28:04 +0900] "GET /exam_v1/resort/assets/css/responsive.css HTTP/1.1" 304 -
